id,name,orgID,factory,model,is_enabled,exposureRange,storageFormat
<<<<<<< HEAD
DEVICE_98a93d181cb95ccccc3c69d9e89,P697b49a,ORG_19a6946bc4cd2bb1e25b89a29c9f9db8d,欧普罗科技,NOac4baece65,false,,GIF
DEVICE_03ad7ab9a9ab0ac8dff3f1d20bc,Pc11bad6,ORG_4ac8dac6288d99cc6c69cdd54d5b3dccb,福伦达,NOf0449dbed2,false,,png
DEVICE_1bcca8a9b1d5dc88ad2d9cbb36e,P80d8a54,ORG_e8ce5d80d412dd0ba8edda2d08899ec39,D-MAX,NO7cc9e2ddfd,false,,jpg
DEVICE_5a8cdad0495dd5c00673ac99bdb,P708bbb9,ORG_a7bb9dc4e446a3eadbc9a2c5cbbbbd79a,佳能,NO19292c7aa5,false,,png
DEVICE_a87dadddd1ab3ca96d4da1a9d9f,P5c2dbb5,ORG_5babcc4d2949c8cbf0bfcbda1a4598a9b,Samsung,NO1a89ca88cc,false,,jpg
DEVICE_cb3cb9a6bcfabadbeda88a9dabd,P5aea090,ORG_4d29ad5b099cbc03bbcdad3af9cc0cabb,欧普罗科技,NO23c4cd9b53,false,,jpg
DEVICE_cbb81d3d1d78f3b07cadaafd5bb,Pe23b6d6,ORG_cbd3c8d8cf539aa7e8e0acc782bd9d3bc,索尼,NOc400b9be8a,false,,GIF
DEVICE_38ea7cda67d9b4b6dccaa9ebcdc,P86abadd,ORG_0ac9db91b8ea4aabccb3d9a0bcc85db6f,PiXORD,NOc95ddacc3c,true,,jpg
DEVICE_bc9929da9bdb78deadcbdc9a99d,Pc15ad95,ORG_4ac8dac6288d99cc6c69cdd54d5b3dccb,Samsung,NO4bb8ccb2cd,false,,jpg
DEVICE_a2599cbbcd095d9d878aaa4d597,P74a9b8b,ORG_3e8b6c8bcdaa9bf8ab53ccf98d8bc69c8,索尼,NO3cc8cbdcf0,true,,svg
DEVICE_69d77908a80d0cba1cdd91b92d7,P3cba688,ORG_cb6a6dd96c2ac209a87b9dec7c171d8db,索尼,NO6d3ab8a2af,false,,jpg
DEVICE_5a8c080dc69449bc9c9cdf9b5dc,Paeb269b,ORG_0bb597ca99ad2830b75e18cc11344fc2b,Basler,NOa99a8daac8,true,,GIF
DEVICE_fbbc8d7b6fcca939ca2fb34421a,Pbaa9c9d,ORG_81b969fecdcdcf0c997da913bcc9aebb5,PiXORD,NO99fcd4828f,true,,GIF
DEVICE_bbba98dadbafeccba91dddb52d9,P24a7c97,ORG_a7bb9dc4e446a3eadbc9a2c5cbbbbd79a,卡西欧,NOf38dcb9f37,true,,svg
DEVICE_efcdaa5ac9bbc1a7b7758d0b9b4,Pfcc33d9,ORG_2bcdf9c8bc3dddba891d03ac8b0b38d8b,Samsung,NO79badc78eb,false,,GIF
DEVICE_28cabe1a7b49be5b19dc3b7b1dd,P6cd28c9,ORG_9aaec8e91cabc01fcd9a9c8820a839ddb,欧普罗科技,NO8a49389c1b,false,,svg
