id,userID,diseaseID,is_display,isSupport,checkbox
DISCONFIG_19bdaabc98bd0b8da95bcbcdb1877d79c,USER_5285abcab9d90a98ecc8a8db078d9acb4,DR,false,false,1
DISCONFIG_4c99d8bcbb5d89cccab8ebd6b2caa9bca,USER_5285abcab9d90a98ecc8a8db078d9acb4,CSME,true,true,1
DISCONFIG_455b6d8c929806cf19beb7cc3c94b1baa,USER_5285abcab9d90a98ecc8a8db078d9acb4,amd,true,false,1
DISCONFIG_cda5ac4a79fab0355cb3dcc00cdada77f,USER_5285abcab9d90a98ecc8a8db078d9acb4,hr,false,false,0
DISCONFIG_5b8ecdcbe9a9b99fcca1fb9bf9dadbd99,USER_5285abcab9d90a98ecc8a8db078d9acb4,pm,true,true,1
DISCONFIG_5b39713a95cadc9a9c98eb9a90d2b93bb,USER_5285abcab9d90a98ecc8a8db078d9acb4,mo,false,true,0
DISCONFIG_18adaa80b9eaa8aa46c2a9cd3996cbadb,USER_5285abcab9d90a98ecc8a8db078d9acb4,ga,true,false,0
DISCONFIG_fc581c24d97dd8d3b6dbd9dcde29cc6bb,USER_5285abcab9d90a98ecc8a8db078d9acb4,rvo,false,true,2
DISCONFIG_e0c4dc5c894a9e891b1d0d0dc56f31a14,USER_5285abcab9d90a98ecc8a8db078d9acb4,other,false,false,0
DISCONFIG_730aeacf18c195a76969a259f0b7b989a,USER_2c93d92aa19c9d579d09d98ba999daa4f,amd,false,false,1
DISCONFIG_bab89ba634a789b0a9abec9c91afccddd,USER_2c93d92aa19c9d579d09d98ba999daa4f,hr,false,true,0
DISCONFIG_c9a2ecc89ac898470bab7db91d893daad,USER_2c93d92aa19c9d579d09d98ba999daa4f,pm,true,false,1
DISCONFIG_cbdbe7768d918dca859de7208caeaad3c,USER_2c93d92aa19c9d579d09d98ba999daa4f,mo,false,true,0
DISCONFIG_deab99bbdcbaac99dfbd3dca2caad5c26,USER_2c93d92aa19c9d579d09d98ba999daa4f,ga,true,true,0
DISCONFIG_12cd49c288be68baba9bdd2c7dcdbc32a,USER_2c93d92aa19c9d579d09d98ba999daa4f,rvo,false,false,2
DISCONFIG_29ddbf79c0b88bbdabdcee8df8ab38afb,USER_2c93d92aa19c9d579d09d98ba999daa4f,other,true,true,0
DISCONFIG_e48bbcfca4992aa0b9bdc3a38dd8c2d60,USER_7399ba59aadce34499ad2bb9d8a9ab2c8,amd,false,false,1
DISCONFIG_3b8d9e8b9719269d9bdc657f672ded7c4,USER_7399ba59aadce34499ad2bb9d8a9ab2c8,hr,true,false,0
DISCONFIG_6bb9db8b98ab7d84dbbbd88ba0c08bd39,USER_7399ba59aadce34499ad2bb9d8a9ab2c8,pm,true,false,1
DISCONFIG_5a2ad9c69eae9da99b99d9caaa5a9aba9,USER_7399ba59aadce34499ad2bb9d8a9ab2c8,mo,false,true,0
DISCONFIG_aa8c9badce0995ead4c84d7b6b99c3db2,USER_7399ba59aadce34499ad2bb9d8a9ab2c8,ga,true,true,0
DISCONFIG_99cd72ebbb23b79946d4dcedacacccb58,USER_7399ba59aadce34499ad2bb9d8a9ab2c8,rvo,false,true,2
DISCONFIG_c1dc3dbc08a280bbae4d8c6caaf4cb5bb,USER_7399ba59aadce34499ad2bb9d8a9ab2c8,other,true,true,0
DISCONFIG_9de80bb3db19a0919a971b98399ac7606,USER_3add9c2eb9abaada1698d989cd47d81bc,amd,true,true,1
DISCONFIG_9c948a07f97db858aa4a7f9a4f0570baa,USER_3add9c2eb9abaada1698d989cd47d81bc,hr,false,false,0
