photoID,centerPoint/x,centerPoint/y,radius
<<<<<<< HEAD
PHOTO_029e5dee7ddfdac5cdb9ac999c0a9eec4,0.1935,0.6778,0.017
PHOTO_c8f2daddcbbbbaddbdf99d3a9933baafe,0.3835,0.1704,0.0951
PHOTO_7db99c93239daa29e27cd9b4a73bdcd8d,0.8584,0.8799,0.0873
PHOTO_cf7c8ad623f0cdf17b302ad7b97a417cc,0.5902,0.2766,0.0955
PHOTO_8dbcc9182dcaac99baab88cbd8c994b9d,0.1401,0.4971,0.0847
PHOTO_2a6ed9e4cb1d90addd0ff9cd89b9c9c91,0.2246,0.9412,0.0175
PHOTO_79b4d01f1dba7bc68aad3999cdaaabebe,0.8304,0.8151,0.0504
PHOTO_be61ba04b979d20abcb74cd820ae4a3d0,0.4997,0.3203,0.0176
PHOTO_45ccb8dcea9c5aad8d94ce968b9baeb26,0.6689,0.2761,0.0489
PHOTO_8adabda59da6b9dd9949bc0d69ac9a507,0.5972,0.2214,0.0242
PHOTO_cc9dcc7c9dcfdad993db5ad6b9b68aded,0.2536,0.7563,0.0827
PHOTO_476a0be6b339c4cc9cb9fc1b8abb91dab,0.4386,0.2099,0.0695
PHOTO_14c84baf5abacfd8b798b9dac1aac4df5,0.942,0.3851,0.0968
PHOTO_5c8de2b29cdcbbb6cf34597d7bafb653a,0.2907,0.2783,0.0765
PHOTO_9cbaa1d8cdc975abd194b8adb83edfd8d,0.2069,0.6275,0.0825
PHOTO_2a8e09dd4483c946c696dcd7fcac9d993,0.7037,0.2323,0.0648
PHOTO_69eecfb994ac09697caeba599dc39bcbc,0.8035,0.68,0.0973
PHOTO_edbbbc39bbcbb8ae1ba4bc6d39d0a2ce9,0.3375,0.6113,0.0229
PHOTO_70c799b949999ebab815cbaab7a8ea76b,0.303,0.6098,0.0398
PHOTO_0aed99596e2b8caf6258c0a91d4a9bb09,0.8475,0.1689,0.0121
PHOTO_5dac92bc9b46454bbb8abaddc6492cafa,0.5561,0.8091,0.0794
PHOTO_d574da2a4de3bbab8abcc9c2b905dbcc3,0.1723,0.8141,0.0857
PHOTO_fcc93fc1490abdc2d88e5a3ac84b7bcb8,0.5027,0.1336,0.0581
