id,lessionID,userID,is_display,isSupport,checkbox,area,dr_related,amd_related,hr_related,pm_related
LESCONFIG_7d3888fda4ad89981b509bbe411ca7b4b,ma,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,false,0,2,1,1,0,1
LESCONFIG_eaa12dd92adab7995cdcddb79d89aebac,hma,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,true,2,3,1,1,1,0
LESCONFIG_a64acd3dfa9c3a8c87c36dfda3c4cc2e3,he,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,false,1,1,0,1,0,0
LESCONFIG_5bcb29ba9cbcac3ca9d76e80bc4de8eac,cw,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,true,0,1,0,1,1,1
LESCONFIG_872979aad887fc46747abb3929b33b1dc,ds,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,false,0,3,1,0,1,1
LESCONFIG_dbca4dd41a5abab40d94d3a919a8054da,an,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,true,0,3,0,0,1,0
LESCONFIG_2d8bcdca47b9ac88ca3e6889cc591cdad,taf,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,true,0,1,1,0,1,1
LESCONFIG_e9aa7ac80dac586bb33fa9bcb9393ca25,nvfp,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,true,2,0,1,1,0,0
LESCONFIG_2d5bca4d98b48d42090ac4a986c430c1d,pvh,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,true,2,3,1,1,1,1
LESCONFIG_a1eb63da9dbdaa4c2d69ce98d9ad2a2fb,ls,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,true,0,1,0,1,0,0
LESCONFIG_bcbf0d90c9989bbfaaa980c9cc51199da,IRMA,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,false,0,3,1,1,0,1
LESCONFIG_1b9c8dabb95d0628dda2898b7ce17c9f3,vb,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,false,0,1,1,0,0,0
LESCONFIG_4e9b59bb585a79ddbadfdcdb70c13bacb,ode,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,true,0,0,1,0,1,1
LESCONFIG_78dd96cbdbca0150cdab9dddfcbc7c90d,awo,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,true,2,1,0,0,0,0
LESCONFIG_763b99a8dadb9bba9cbd48ad9ad8ad9a2,gea,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,true,0,0,0,0,1,1
LESCONFIG_c0b070ccfa5591c209852a3bb5991ecc9,sp,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,true,0,2,1,1,0,0
LESCONFIG_699bcadaaa3c529bf1e39c9b1c99de9be,aavr,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,true,1,0,0,0,0,1
LESCONFIG_95a39aa91d61ab53bf9bfbb99c4fb4acc,acdr,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,true,2,2,1,0,0,0
LESCONFIG_89387ee8dcd1b9dba04c927a41dc59f02,pd,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,true,2,3,0,0,1,1
LESCONFIG_184d7da13cc64aba8d6bdcea8bd2c9a8b,sh,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,false,0,0,0,0,0,0
LESCONFIG_fae0c9d984e90aaac669577a8dd88896c,seh,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,false,0,1,1,0,0,0
LESCONFIG_f99109adc99999bedac2838cdbfbcaa8b,rd,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,false,1,2,1,0,0,1
LESCONFIG_8b5db8ac99d14d29b79eacc9cf909de3c,mc,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,false,0,3,0,1,0,1
LESCONFIG_3d7db7bcc9c01e9bcdb98db953717b909,fs,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,false,0,2,0,0,0,0
LESCONFIG_fabc39ec9ceb8fb9bc2e6ac19ade860b4,lc,USER_5285abcab9d90a98ecc8a8db078d9acb4,false,false,0,3,1,1,0,0
LESCONFIG_6ec3dc49ba8dca56dc97dccb9d1bcbbad,ca,USER_5285abcab9d90a98ecc8a8db078d9acb4,true,false,1,2,1,1,0,0
LESCONFIG_69c3a5b7bc8d69db3d08dcadca2deb6b0,ma,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,true,0,1,1,1,0,0
LESCONFIG_98daedc8da9d9a8dda3ab2292a1d2d311,hma,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,false,2,1,0,1,1,1
LESCONFIG_4fdd1fcdbe981bb382c848d93c84498aa,he,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,false,1,0,0,0,1,1
LESCONFIG_757ddacb92bad4a4aa20096ad9af39d6d,cw,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,false,0,2,0,0,0,0
LESCONFIG_8dd96199662dab4f979ccbaadd9b6955b,ds,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,false,0,0,0,1,0,0
LESCONFIG_3c5ba22bda6bd2c8babdc512e87cadb8c,an,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,false,0,3,0,0,0,0
LESCONFIG_6ac690e24db93cc8df7bcd482c6389caa,taf,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,true,0,1,0,1,1,0
LESCONFIG_3f8d71ccd2bd4ad92a8fa9997883b29d9,nvfp,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,true,2,1,0,0,0,1
LESCONFIG_3cb194989dc09239cec56d690dd20a941,pvh,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,false,2,0,0,0,1,1
LESCONFIG_bddd2b23898cb079909dac10eadc3f9fc,ls,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,true,0,1,1,0,0,1
LESCONFIG_3e3bab82dcf9c4569dbbc76aad389c8d9,IRMA,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,true,0,2,0,0,1,0
LESCONFIG_ac1bdd83b9e7ebc7cafd78d85ccbd2c91,vb,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,true,0,3,0,0,0,0
LESCONFIG_7b668dddccbb99b2fb9cdd88e39329b0d,ode,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,true,0,1,1,1,1,0
LESCONFIG_aaf4b574934acbbdec5fd9abacdc0b9a1,awo,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,false,2,1,0,1,0,1
LESCONFIG_97d9d987d9933fc9fd7cacbbc99de6aed,gea,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,false,0,3,1,0,1,1
LESCONFIG_33a9e82abcdcabbccafab0dc03c35c097,sp,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,false,0,3,0,0,1,0
LESCONFIG_f9ecc3bca89d9939ba9c6ada1bacaaa41,aavr,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,true,1,0,1,0,1,0
LESCONFIG_52c89f339bbccd9873cf22b342ba9bb53,acdr,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,true,2,2,0,1,1,0
LESCONFIG_fdba2509ab999ca20f0dca5fcd8fcd933,pd,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,false,2,3,1,0,0,0
LESCONFIG_3bda4eec9a9c7ae01839bba2690c99bc6,sh,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,true,0,3,1,0,1,1
LESCONFIG_7d9cd62179dbfcb39b9b0d0dfdba2a9b7,seh,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,true,0,1,0,1,1,1
LESCONFIG_998dead03997b9c8cfdd24f9999acacdc,rd,USER_2c93d92aa19c9d579d09d98ba999daa4f,true,true,1,0,0,1,1,1
LESCONFIG_5a2b897d402bbcdabfc089aaeabcca819,mc,USER_2c93d92aa19c9d579d09d98ba999daa4f,false,false,0,0,0,1,1,1
