userID,markers_display,model_detection
USER_2afbbe7d9680d1fcb0e41ca88f275dfc6,false,false
USER_e9c6155897a4dfecc92c881c4e21c9aba,false,true
USER_8931dcca88baa2ac64b5bbccb2f9d3a7a,true,true
USER_db8d5addca139bca99dc93b8a93cd64ab,true,true
USER_5acdb959f8bdda2eab29b3cbd8a4bc84d,true,false
USER_dada9ab99a2c7b91bc3bcad30b1dbdc89,false,false
USER_1fb9d9ca949e9b8d9aa8b6dda7ba9bcad,false,false
USER_92608a9db933a0c87ab835aba96cecd7a,true,true
USER_cdddc3a3db91cc49d9eebcbd509babdb8,false,true
USER_828cd95a598bdb1d1c9d5ba2a9ba9cd09,false,false
USER_f89887acdaaca99699cbfdbbaa9eabba9,false,false
USER_e9bace89dc3c2acbcfdd9c76c09d3ed71,false,false
USER_acb93ef0aadaab75cfaaa43b55fac5ffa,true,true
USER_6c8255c9597bab39b06ac9aad53e998ca,false,true
USER_4acb9abb6cb11aa9e7dbbaeebbd93ebd2,true,false
USER_708bcaec2898aaa68abacbfcadd0d6bbd,false,false
USER_70c4b8da99b9db59d687bdfdb8b1896ca,true,false
USER_3acfa8a96afb9339acbabca9a628bfddc,true,true
USER_d24d8038df3a3bd9983938c3ca2c05add,false,true
USER_7c9985b99c0de119ac1b16a3aa67cc4ca,true,true
USER_b3bd16afb9b9996d6cf8d8cccbc496bc7,false,true
USER_39d99d79d0d712f9a41d4f6a43cbdddda,false,false
USER_9bac5cdd6abbd3a59dcae7199dda85c3c,true,false
USER_1cd9d8db5ba509bde9fb988bca2cddc8c,true,true
USER_29ca4a9b6bba8fccabcda984b8c904ac1,false,true
USER_0b8a89c9797ac9d8bc99ca647e355ade6,false,false
USER_8fab48d8c1aa5a6484b0b92888a9a512c,false,true
USER_3894869eaaa9ce7c9b52ddcd9ccbcacaa,true,true
USER_eec1bbde822b1f99afdd299d306997e9a,true,true
USER_8d1f58a4b0a57c6dbcfdd9dbb7acd9c45,true,false
USER_b7c986c9bda6aeaecc5db6d4b4d8d9afd,true,true
USER_778c3b95f98dd96a1cbbc4b2a5fcc7a62,false,true
USER_e15fdd389cb4cbfaccdc25bb7a0bbd2fe,true,false
USER_c7cccd3cb8d1abdacd3c95781963bd29b,false,false
USER_48aacaabc4ad9b3f55c9f10ccb9a8691c,false,true
USER_ad191c0bd96bbafc99cedb91ab53dd9a4,true,true
USER_39cffd65ae95d92b8deacdac8a298a1d9,false,true
USER_8bdaab1736ac199aaf5a6ac9983dbcca2,false,false
