id,name,address,parentID,authorizedOrgIDs,logo,logo_name,disclaimer,authorized
ORG_86db2523a5db4a9a88c44dc9b2acd52ba,同济附属医院,上海市杨浦区,,,,,,
ORG_cbd3c8d8cf539aa7e8e0acc782bd9d3bc,第一人民医院(分院),上海市杨浦区,ORG_86db2523a5db4a9a88c44dc9b2acd52ba,ORG_86db2523a5db4a9a88c44dc9b2acd52ba,,,,
ORG_f9471da0aa8f9ec0d69cdc1bcd81bac93,复旦附属中山医院,上海虹口区四川北路,ORG_86db2523a5db4a9a88c44dc9b2acd52ba,"ORG_86db2523a5db4a9a88c44dc9b2acd52ba,ORG_cbd3c8d8cf539aa7e8e0acc782bd9d3bc",,,,
ORG_cb6a6dd96c2ac209a87b9dec7c171d8db,浦东医院,样子胡同二号,,,,,,
ORG_0abd4cc98798cd0ccbdaacd8bc9ddeda0,上海市第一人民医院,京城八号当铺一楼,ORG_86db2523a5db4a9a88c44dc9b2acd52ba,"ORG_86db2523a5db4a9a88c44dc9b2acd52ba,ORG_f9471da0aa8f9ec0d69cdc1bcd81bac93",,,,
ORG_0bd13c2a87aacd08dadaa9989bdfa0a0d,北京大学第三医院,上海市武进路85号,,,,,,
ORG_e9da53637359d8cd9db80968a6ad9ab33,北京大学第一医院,上海市闸北区中山北路805弄11号,,,,,,
ORG_3b56dbc5943ccd8fc589cdb99961b4dec,北京大学人民医院,上海虹口区四川北路,ORG_86db2523a5db4a9a88c44dc9b2acd52ba,"ORG_86db2523a5db4a9a88c44dc9b2acd52ba,ORG_cbd3c8d8cf539aa7e8e0acc782bd9d3bc",,,,
ORG_bb8d8bd9b098b196cb63925ef0aa5cc9a,北京大学首钢医院,上海市杨浦区,ORG_0bd13c2a87aacd08dadaa9989bdfa0a0d,ORG_0bd13c2a87aacd08dadaa9989bdfa0a0d,,,,
ORG_09cacdc6d98bccb9babac8bbdb39e0b9d,北京华信医院,上海市闸北区中山北路805弄11号,,,,,,
ORG_9dadd6b3c62dd3cda351b9dcdab93b9c4,北京积水潭医院,京城八号当铺一楼,,,,,,
ORG_f009af316abc957aaa89dadc31f89d369,北京京煤集团总医院,上海市浦东新区拱为路2800号,,,,,,
ORG_3db49eb1ec9cdba7ce7d9d88d895fc2b0,北京老年医院,样子胡同二号,,,,,,
ORG_6a00768c9cf6305899d2fc7260d9bcb75,北京小汤山医院,样子胡同二号,ORG_0bd13c2a87aacd08dadaa9989bdfa0a0d,"ORG_0bd13c2a87aacd08dadaa9989bdfa0a0d,ORG_bb8d8bd9b098b196cb63925ef0aa5cc9a",,,,
ORG_a7ca108b159dfad98991dcc2019cf385b,北京燕化医院,上海虹口区四川北路,ORG_0bd13c2a87aacd08dadaa9989bdfa0a0d,"ORG_0bd13c2a87aacd08dadaa9989bdfa0a0d,ORG_6a00768c9cf6305899d2fc7260d9bcb75",,,,
